timestamp_ms,slot,frequency_mhz,rssi_dbm,snr,payload_hex,payload_text,length
1209900,120,921.000,-27,9.25,69763d35616133616637323966303062393936316565626632326134343936333735662c6d73673d396163623132353662633031306136383562303464376363666633613361313161346564333262643839376665366662313131353933316530346466333039662c636f756e7465723d3532382c743d313230393635362c6b696e643d64617461,iv=5aa3af729f00b9961eebf22a4496375f;msg=9acb1256bc010a685b04d7ccff3a3a11a4ed32bd897fe6fb1115931e04df309f;counter=528;t=1209656;kind=data,136
1212158,121,921.600,-26,7.75,69763d65343633376336663632316331313136366361383432356133373161666537302c6d73673d346331643137333962633337343837353830653031353637643237363165633132366638326134393530373531353330666436653730306530356130396436652c636f756e7465723d3532392c743d313231313931312c6b696e643d64617461,iv=e4637c6f621c11166ca8425a371afe70;msg=4c1d1739bc37487580e01567d2761ec126f82a4950751530fd6e700e05a09d6e;counter=529;t=1211911;kind=data,136
1214414,121,921.600,-27,9.25,69763d39616262343133386662653365323265383536343537363639363863373431332c6d73673d646234643933373539363161626661376665623562636563663336303262623630663532363830393164373638633435646465333262636562353334613564352c636f756e7465723d3533302c743d313231343137302c6b696e643d64617461,iv=9abb4138fbe3e22e85645766968c7413;msg=db4d9375961abfa7feb5bcecf3602bb60f5268091d768c45dde32bceb534a5d5;counter=530;t=1214170;kind=data,136
1216669,121,921.600,-26,9.75,69763d65643761633762643330626234613262393133306563653337393836356332342c6d73673d333936653130636166323361623764353936633364343135623266633334653830663236306132653666656461626565343733323331626235353663323864652c636f756e7465723d3533312c743d313231363432352c6b696e643d64617461,iv=ed7ac7bd30bb4a2b9130ece379865c24;msg=396e10caf23ab7d596c3d415b2fc34e80f260a2e6fedabee473231bb556c28de;counter=531;t=1216425;kind=data,136
1218927,121,921.600,-27,9.5,69763d32313431363332356265363364623133376633613862363563356239663962312c6d73673d653864613939623731653339323561323866346634353262373061366365393237343632373962366430346434323966396330306132343966623366666561332c636f756e7465723d3533322c743d313231383638302c6b696e643d64617461,iv=21416325be63db137f3a8b65c5b9f9b1;msg=e8da99b71e3925a28f4f452b70a6ce92746279b6d04d429f9c00a249fb3ffea3;counter=532;t=1218680;kind=data,136
1221185,122,921.400,-27,8.75,69763d62376233376331363465653834353133313735623636396434646265656535392c6d73673d306664316431393436393430393432353264303437323738323466393531663866393936376563623965376362316235666165363930373535396261336236362c636f756e7465723d3533332c743d313232303934312c6b696e643d64617461,iv=b7b37c164ee84513175b669d4dbeee59;msg=0fd1d194694094252d04727824f951f8f9967ecb9e7cb1b5fae6907559ba3b66;counter=533;t=1220941;kind=data,136
1223441,122,921.400,-26,9.75,69763d65663866356363303462303365616336316233366430646361333263383534352c6d73673d393165356439323231653465616637653338663731323431373831383634366261313861346666363638666336336564616338643062623334363132363531382c636f756e7465723d3533342c743d313232333139362c6b696e643d64617461,iv=ef8f5cc04b03eac61b36d0dca32c8545;msg=91e5d9221e4eaf7e38f712417818646ba18a4ff668fc63edac8d0bb346126518;counter=534;t=1223196;kind=data,136
1225696,122,921.400,-27,9.5,69763d61356234663266303336353964636236346337323535623439393737376339312c6d73673d633862323939363033353835386236383562633339623636633839613837306461623338343830653465643237343264326562303331363037366636313134652c636f756e7465723d3533352c743d313232353435312c6b696e643d64617461,iv=a5b4f2f03659dcb64c7255b499777c91;msg=c8b2996035858b685bc39b66c89a870dab38480e4ed2742d2eb0316076f6114e;counter=535;t=1225451;kind=data,136
1227954,122,921.400,-27,8.5,69763d64356463393861333565633165643934383233333431653063323363666536302c6d73673d396430343539393266636630333036303165376433656139623466363265633831363962343131633233623661656237343962373735643464376637386237382c636f756e7465723d3533362c743d313232373730392c6b696e643d64617461,iv=d5dc98a35ec1ed94823341e0c23cfe60;msg=9d045992fcf030601e7d3ea9b4f62ec8169b411c23b6aeb749b775d4d7f78b78;counter=536;t=1227709;kind=data,136
1230209,122,921.400,-27,9.0,69763d38343530326638643530336432653365323931633735346235353434366165382c6d73673d393964326563623361326562653166373830646538643538646264363566646163376162646233323130383731343633656237393161353238626165396636302c636f756e7465723d3533372c743d313232393936352c6b696e643d64617461,iv=84502f8d503d2e3e291c754b55446ae8;msg=99d2ecb3a2ebe1f780de8d58dbd65fdac7abdb3210871463eb791a528bae9f60;counter=537;t=1229965;kind=data,136
1232465,123,923.400,-27,-0.25,69763d61313435386464383063613738383262643834666235653131646661303962612c6d73673d396365343435396561303333393565363763666362343834633937643830633637353138663461383136626365363063643032383266356234666363363137632c636f756e7465723d3533382c743d313233323232302c6b696e643d64617461,iv=a1458dd80ca7882bd84fb5e11dfa09ba;msg=9ce4459ea03395e67cfcb484c97d80c67518f4a816bce60cd0282f5b4fcc617c;counter=538;t=1232220;kind=data,136
1234723,123,923.400,-27,-1.5,69763d39333338636363303637613262663866613638323163333163316535343532362c6d73673d353163393934303764303631663230393963313463636164303032383635363234313262643439633732373064333963633638373733633866326538663831362c636f756e7465723d3533392c743d313233343437382c6b696e643d64617461,iv=9338ccc067a2bf8fa6821c31c1e54526;msg=51c99407d061f2099c14ccad00286562412bd49c7270d39cc68773c8f2e8f816;counter=539;t=1234478;kind=data,136
1236978,123,923.400,-28,1.5,69763d38343563653131306239356266393665663864346565373432353434663331662c6d73673d323365653336613231643935663861363738363033323564326564633364626634393936636564323831393961333535393136333066356366326539633262662c636f756e7465723d3534302c743d313233363733332c6b696e643d64617461,iv=845ce110b95bf96ef8d4ee742544f31f;msg=23ee36a21d95f8a67860325d2edc3dbf4996ced28199a35591630f5cf2e9c2bf;counter=540;t=1236733;kind=data,136
