t_ms,rssi_dbm,snr_db,epoch_s
71494,-16,9.75,822931620
71634,-16,9.75,822931620
71774,-15,10.25,822931620
71914,-15,9.5,822931620
72054,-15,9.75,822931620
72194,-16,9.75,822931620
72334,-16,9.75,822931620
72474,-16,9.75,822931620
72614,-16,9.25,822931621
72754,-15,9.0,822931621
72894,-16,9.25,822931621
73037,-16,9.25,822931621
73175,-16,9.5,822931621
73317,-15,9.25,822931621
73457,-16,9.5,822931621
73597,-16,9.75,822931622
73737,-16,9.25,822931622
73877,-16,9.0,822931622
74017,-16,9.75,822931622
74157,-16,9.25,822931622
74297,-16,9.5,822931622
74437,-17,9.25,822931622
74577,-15,9.75,822931623
74717,-15,9.75,822931623
74857,-16,9.25,822931623
74999,-15,9.5,822931623
75137,-16,10.0,822931623
75277,-16,9.5,822931623
75417,-15,10.0,822931623
75557,-16,9.5,822931624
75697,-16,9.5,822931624
75837,-16,9.75,822931624
75977,-15,9.75,822931624
76117,-15,9.25,822931624
76257,-15,10.0,822931624
76397,-16,9.5,822931624
76537,-16,9.25,822931625
76678,-16,10.0,822931625
76819,-16,9.5,822931625
76959,-16,9.25,822931625
77099,-16,9.5,822931625
77239,-16,9.5,822931625
77379,-15,9.0,822931625
77519,-16,9.25,822931626
77659,-15,9.75,822931626
77799,-15,10.0,822931626
77939,-16,10.25,822931626
78079,-16,10.5,822931626
78219,-16,10.25,822931626
78359,-16,9.25,822931626
78499,-16,9.25,822931627
78639,-16,9.75,822931627
78781,-15,10.0,822931627
78919,-15,9.5,822931627
79061,-16,9.5,822931627
79201,-15,10.5,822931627
79341,-15,10.0,822931627
79481,-16,10.25,822931627
79621,-16,9.5,822931628
79761,-16,10.0,822931628
79901,-16,9.5,822931628
80041,-16,9.5,822931628
80182,-15,9.75,822931628
80321,-26,9.25,822931628
80462,-16,9.0,822931628
80602,-16,9.5,822931629
80742,-16,9.25,822931629
80882,-16,9.5,822931629
81021,-16,9.0,822931629
81161,-16,9.25,822931629
81302,-16,10.0,822931629
81444,-17,10.0,822931629
81584,-16,9.25,822931630
81724,-25,9.0,822931630
81864,-16,9.5,822931630
82004,-16,9.25,822931630
82144,-16,9.25,822931630
82284,-16,9.5,822931630
82424,-16,9.5,822931630
82564,-16,9.0,822931631
82704,-26,9.25,822931631
82844,-16,9.5,822931631
82986,-15,9.25,822931631
83124,-16,9.5,822931631
83264,-15,9.75,822931631
83404,-15,10.25,822931631
83544,-16,10.25,822931632
83684,-16,10.25,822931632
83824,-15,10.25,822931632
83964,-16,9.5,822931632
84104,-16,9.5,822931632
84244,-16,10.75,822931632
84384,-15,10.25,822931632
84524,-15,9.5,822931633
84664,-15,9.75,822931633
84808,-15,10.25,822931633
84948,-15,10.25,822931633
85088,-16,9.75,822931633
85229,-16,9.75,822931633
85369,-16,9.5,822931633
85509,-16,9.5,822931634
85789,-18,10.25,822931634
85929,-15,9.25,822931634
86069,-16,9.75,822931634
86210,-16,9.75,822931634
86350,-26,9.25,822931634
86490,-16,9.75,822931635
86630,-16,9.5,822931635
86772,-17,9.25,822931635
86910,-16,9.25,822931635
87051,-16,9.25,822931635
87193,-16,9.5,822931635
87333,-15,9.0,822931635
87473,-16,9.5,822931635
87615,-16,9.25,822931636
87753,-16,9.75,822931636
87894,-26,9.25,822931636
88034,-26,9.25,822931636
88174,-16,9.5,822931636
88314,-16,9.75,822931636
88454,-16,9.5,822931636
88594,-16,9.5,822931637
88734,-16,9.0,822931637
88874,-16,9.5,822931637
89015,-15,10.0,822931637
89155,-15,10.25,822931637
89295,-16,9.5,822931637
89435,-16,10.0,822931637
89575,-16,9.75,822931638
89855,-19,10.0,822931638
89996,-15,10.0,822931638
90136,-15,9.75,822931638
90276,-26,9.25,822931638
90416,-16,9.5,822931638
90560,-16,9.25,822931639
90698,-16,9.5,822931639
90838,-16,10.0,822931639
90978,-16,9.5,822931639
91119,-16,9.75,822931639
